questionid,question,optiona,optionb,optionc,optiond,answer
260,Job evaluation determines,Relative worth of jobs,Skills required by worker,Contribution of worker,Contribution of job,A
261,Micromotion study is,Analysis using motion picture,Observation on enhanced intervals,Systematic sequence of operations,Man & machine study together,Scientific optimum work procedure,A
262,Percent idle time found by,Work sampling,Time study,Method study,Work study,A
263,TMU in method time measurement,Time motion unit,Time measurement unit,Time movement unit,Technique measurement unit,B
264,Time study is,Appraisal of work in terms of time,Machine setting time,Worker job timing,Method to fix time for workers,A
265,Work sampling observations based on,Detailed calculations,Convenience,Table of random numbers,Past experience,C
266,One TMU equals,0.0001 min,0.0006 min,0.006 min,0.001 min,B
267,Basic motion time study gives times in ten-thousandths of,Second,Minute,Hour,Day,B
268,Pick wrong statement: Motion study is for,Improving method,Improvising method,Designing method,Providing schematic framework,Reducing inventory,E
269,Gantt chart provides,Material handling,Manpower utilization,Production schedule,Efficient machine operation,C
270,ABC analysis deals with,Process chart,Material flow,Job ordering,Inventory control,D
271,Process layout is used for,Batch,Continuous,Effective machine use,All of the above,A
272,For product layout, equipment must,Flexible,Conveyors/trucks,General purpose,Special purpose,D
273,Travel charts provide,Material flow idea,Estimate handling between sections,Info for rearranging,Handling at station,B
274,Product layout is used for,Batch,Continuous,Effective machine utilization,All of the above,B
275,Process layout best where,Specialization exists,Machines by sequence,Few nonstandard units,Mass production,C
276,Low unit cost achieved by,Product layout,Functional layout,Automatic handling,Specialization & compact layout,A
277,Military organization is,Line,Line & staff,Functional,All of the above,A
278,Main disadvantage of line org,Top executives overworked,Rigid,Communication delays,All of above,D
279,Three coplanar forces P, Q, R in equilibrium satisfy,P/sin β = Q/sin α = R/sin γ,P/sin α = Q/sin β = R/sin γ,P/sin γ = Q/sin α = R/sin β,P/sin α = Q/sin γ = R/sin β,B
280,Center of percussion of homogeneous rod suspended at top,L/2,L/3,3L/4,2L/3,D
281,Angle of plane when body starts moving,Angle of friction,Angle of repose,Angle of projection,None of these,A
282,Wrong statement dry friction,Proportional to normal load,Depends on material,Proportional to sliding velocity,Independent of contact area,C
283,'Centroid' is,Same as C.G.,Point of suspension,Point of application of resultant,None,A
284,C.G. of lamina not at geometric center in,Right-angled triangle,Equilateral triangle,Square,Circle,A
285,Tension if masses reduced to 50%,Same,Half,Double,None,B
286,Moment of inertia thin rod mass m, length l about centroid axis,ml²/4,ml²/6,ml²/8,ml²/12,D
287,Forces are coplanar when lie in,One point,One plane,Different planes,Perpendicular planes,B
288,Rubber ball dropped from 2 m rebounds to,1 m,2 m,3 m,4 m,B
289,Weight 1000 N lifted by effort 80 N, VR 20, machine is,Reversible,Non-reversible,Ideal,None,A
290,C.G. of solid cone on axis,1/4 height above base,1/3 height,1/2 height,3/8 height,A
291,Periodic time T from ω,ω/2π,2π/ω,2π × ω,π/ω,B
292,Resultant of P>Q opposite direction,P + Q,P – Q,P / Q,Q / P,B
293,Two elastic bodies collide,Stop momentarily,Compress & deform,Regain shape,All of above,D
294,Coefficient of friction depends on,Nature of surfaces,Area of contact,Shape of surfaces,All of above,A
295,Angular velocity rad/s of body at N rpm,πN/60,πN/180,2πN/60,2πN/180,C
296,Block m1 on incline connected to m2 vertically, tension in string,m1/m2,m1.g.sin α,m1.m2/(m1 + m2),m1.m2.g.(1 + sin α)/(m1 + m2),D
297,Frame stress by section, cut at most,Two unknown members,Three unknown members,Four unknown members,Three known members,B
298,Machine efficiency >50% called,Reversible,Non-reversible,Neither,Ideal,A
299,Algebraic sum of moments of couple,Equal to moment of couple,Constant,Both correct,Both wrong,A
300,Third-order lever, W, P, F arrangement,W between P & F,F between W & P,P between W & F,W,P,F all on one side,A
Question_No,Question,Option_A,Option_B,Option_C,Option_D,Answer
301,Angular velocity (rad/s) of a body rotating at N rpm is,πN/60,πN/180,2πN/60,2πN/180,C
302,Block of mass m1 on smooth inclined plane connected to mass m2 moving vertically, tension in string is,m1/m2,m1.g.sin α,m1.m2/(m1 + m2),m1.m2.g.(1 + sin α)/(m1 + m2),D
303,Frame divided by imaginary section should not cut more than,Two members with unknown forces,Three members with unknown forces,Four members with unknown forces,Three members with known forces,B
304,Machine with efficiency greater than 50% is called,Reversible machine,Non-reversible machine,Neither reversible nor non-reversible,Ideal machine,A
305,Algebraic sum of moments of forces forming a couple about any point is,Equal to moment of couple,Constant,Both correct,Both wrong,A
306,Third-order lever arrangement of load W, effort P, fulcrum F is,W between P and F,F between W and P,P between W and F,W, P and F all on one side,A
307,Correct statement regarding couple,Algebraic sum of forces constituting couple is zero,Algebraic sum of forces about any point is same,Couple balanced only by opposite sense couple,All of the above,D
308,Ladder resting on floor and against vertical wall may not be in equilibrium if,Floor smooth wall rough,Floor rough wall smooth,Floor and wall both smooth,Floor and wall both rough,C
309,Skidding of vehicle on level circular path can be avoided if friction between wheels and ground is,Less than,Greater than,Equal to,None of these,B
310,Coulomb friction occurs between,Bodies with relative motion,Two dry surfaces,Two lubricated surfaces,Solids and liquids,A
311,Time of flight t of projectile on upward inclined plane,t = g cos β/2u sin(α – β),t = 2u sin(α – β)/g cos β,t = g cos β/2u sin(α + β),t = 2u sin(α + β)/g cos β,B
312,Example of first-order lever,Arm of man,Pair of scissors,Pair of clinical tongs,All of the above,D
313,Three forces on rigid body forming triangle equivalent to couple whose moment is,Area of triangle,Twice area,Half area,None,B
314,Cartesian equation of trajectory (u=velocity, α=angle of projection),y = (gx²/2u² cos²α) + x tan α,y = (gx²/2u² cos²α) – x tan α,y = x tan α – (gx²/2u² cos²α),y = x tan α + (gx²/2u² cos²α),C
315,Units of moment of inertia of area are,kg-m²,m⁴,kg/m²,m³,B
316,Slope on road surface provided on curves is,Angle of friction,Angle of repose,Angle of banking,None,C
317,A force acting on a body may,Change motion,Balance other forces,Retard motion,All of the above,D
318,Centre of gravity of isosceles triangle with base p and sides q from base is,[√(4p² – q²)]/6,(4p² – q²)/6,(p² – q²)/4,(p² + q²)/4,A
319,Ladder on smooth ground leaning against vertical wall, force of friction is,Towards wall at upper end,Away from wall at upper end,Upwards at upper end,Downwards at upper end,C
320,Velocity of body reaching ground from height h is,2√(gh),√(gh),√(2gh),2g√h,C
321,Framed structure is,Perfect frame,Deficient frame,Redundant frame,None,A
322,Lami’s theorem states,Three forces acting at point in equilibrium,Three forces represented by triangle with sides proportional to forces,Three forces represented in magnitude & direction by triangle in order are in equilibrium,Each force proportional to sine of angle between other two,D
323,Ratio of static to dynamic friction is,Equal to one,Less than one,Greater than one,None,C
324,Correct statement about polygon of forces,If forces at a point represented by polygon sides in order then forces in equilibrium,If forces represented by direction & magnitude of polygon sides then in equilibrium,Closed polygon represents forces in equilibrium,Forces represented by direction & magnitude in order then in equilibrium,D
325,Moment of inertia of triangular section with base B & height h about axis through base is,bh³/4,bh³/8,bh³/12,bh³/36,C
326,Coefficient of friction is,Angle between normal reaction & resultant,Ratio of limiting friction & normal reaction,Friction when body about to move,Friction when body moving,B
327,Forces meeting at one point with lines in same plane are called,Coplanar concurrent,Coplanar non-concurrent,Non-coplanar concurrent,Non-coplanar non-concurrent,A
328,Flywheel on motor goes from rest to 1000 rpm in 6 sec, revolutions made nearly,25,50,100,250,B
329,Ladder resting on smooth ground leaning against rough vertical wall, friction acts,Towards wall upper end,Away from wall upper end,Downwards at upper end,Upwards at upper end,D
330,Pick incorrect statement: C.G. of semicircle at distance from centre,Circle C.G. at centre,Triangle C.G. at medians intersection,Rectangle C.G. at diagonals intersection,Semicircle C.G. at r/2 from centre,D
331,Range R of projectile on upward inclined plane,g cos²β/2u² sin(α + β) cos α,2u² sin(α + β) cos α / g cos²β,g cos²β/2u² sin(α – β) cos α,2u² sin(α – β) cos α / g cos²β,D
332,Three forces in one plane on rigid body in equilibrium must,Meet at a point,Be all parallel,At least two meet,All of above correct,D
333,To double period of simple pendulum, length of string should be,Halved,Doubled,Quadrupled,None,C
334,Angle of inclined plane with horizontal when body about to move is known as,Angle of friction,Limiting friction angle,Angle of repose,Kinematic friction,C
335,Energy possessed by body due to position is,Potential,Kinetic,Electrical,Chemical,A
336,Centre of gravity of uniform lamina lies at,Center of heavy portion,Bottom surface,Midpoint of axis,All of the above,C
